# time [s],                    x_linear_position [m],                    y_linear_position [m],                    z_linear_position [m],                    x_orientation,                    y_orientation,                    z_orientation,                    w_orientation
1.536097638487555265e+09,6.254821579709467478e+05,5.041740635900021531e+06,2.525877065429512669e+01,4.164802710089291621e-02,-7.945916227254430642e-02,9.281419146936850106e-01,-3.612537467740494224e-01
1.536097639013217688e+09,6.254820463028057711e+05,5.041740537328993902e+06,2.526957882089269702e+01,4.110819646006672740e-02,-7.973978187988602084e-02,9.305705066161624739e-01,-3.549510044860944569e-01
1.536097639462894678e+09,6.254819447062007384e+05,5.041740447137258016e+06,2.525564376419614376e+01,-2.339699423092474542e-02,-9.680024771042611276e-02,9.361599762997794283e-01,-3.371747195128285690e-01
1.536097639887655973e+09,6.254817948933168082e+05,5.041740335419752635e+06,2.526942084704532832e+01,-2.490774392708471063e-02,-9.642256783712284396e-02,9.413177330473980753e-01,-3.224952994303416087e-01
1.536097640359356642e+09,6.254815794292147039e+05,5.041740181445334107e+06,2.527988802701391435e+01,-3.804186402173636433e-02,-7.313521445460270665e-02,9.425327549766159274e-01,-3.237839754907916312e-01
1.536097640800834894e+09,6.254813850476337830e+05,5.041740050277029164e+06,2.529565216566453500e+01,-3.839349694496137222e-02,-7.295123305267875446e-02,9.440805330897591441e-01,-3.192428605770016303e-01
1.536097641255215406e+09,6.254812874763045693e+05,5.041739956491930410e+06,2.526071773069131865e+01,-9.855993050368513919e-02,-4.522523382171165368e-02,9.417168532635873390e-01,-3.184493469991853676e-01
1.536097641690784216e+09,6.254811588928794954e+05,5.041739850828074850e+06,2.524527331746025283e+01,-9.873428932573555250e-02,-4.484330258200970587e-02,9.429427283343175814e-01,-3.148009361585729082e-01
1.536097642138291836e+09,6.254810338711967925e+05,5.041739758680962026e+06,2.525155316380969239e+01,-9.210595176129780792e-02,-4.397919623820356616e-02,9.455139269833513493e-01,-3.091694322356411395e-01
1.536097642569596529e+09,6.254806996018264908e+05,5.041739587142179720e+06,2.525206201496424896e+01,-9.213064033002656139e-02,-4.392745342029535927e-02,9.456874381845745692e-01,-3.086382886297219241e-01
1.536097643055305958e+09,6.254805469459830783e+05,5.041739467800068669e+06,2.525482645084507638e+01,-9.225752544969686997e-02,-4.366033725833404905e-02,9.465776922663987625e-01,-3.058970357032021470e-01
1.536097643500202417e+09,6.254803663145082537e+05,5.041739362881936133e+06,2.524529665597161099e+01,-1.003107003719027196e-01,-6.900806932246725256e-02,9.399956213864852916e-01,-3.187222639438910265e-01
1.536097643950890779e+09,6.254802396652327152e+05,5.041739291551236995e+06,2.523501725659796691e+01,-1.003206510727562284e-01,-6.899360266759799187e-02,9.400415749665121945e-01,-3.185867026317372175e-01
1.536097644407363415e+09,6.254800222244522301e+05,5.041739074925374240e+06,2.520289206967162343e+01,-1.237164717325723445e-01,-8.289213103070854072e-03,9.468641516584566098e-01,-2.967723064443291703e-01
1.536097644875472069e+09,6.254799731056822930e+05,5.041739029227681458e+06,2.519309832248012526e+01,-1.236972774071474906e-01,-8.570880578078894987e-03,9.461859789815536548e-01,-2.989274439506927061e-01
1.536097645304640770e+09,6.254797981744671706e+05,5.041738928471730091e+06,2.519404407823904180e+01,-6.758850955897613422e-02,9.049216489545350989e-03,9.526908555256102806e-01,-2.961925705590918168e-01
1.536097645773141384e+09,6.254796400105564389e+05,5.041738807849147357e+06,2.517276045811821561e+01,-6.744923697558710685e-02,1.003470851044306958e-02,9.569123190447721417e-01,-2.822564768377825439e-01
1.536097646252001047e+09,6.254795005786982365e+05,5.041738750303126872e+06,2.513561989818049724e+01,-8.219641362610763391e-02,-4.112511546987401845e-02,9.582559165003985413e-01,-2.707361685415831665e-01
1.536097646704228878e+09,6.254790954116622452e+05,5.041738574689238332e+06,2.505312345359872950e+01,-8.291980549659035138e-02,-3.964632885668320506e-02,9.629512605189447516e-01,-2.535297701051514863e-01
1.536097647166513443e+09,6.254789608968653483e+05,5.041738490881918930e+06,2.503245610038213087e+01,-5.639376780952112117e-02,-2.174908589043476545e-02,9.672571937882159521e-01,-2.464959254838139380e-01
1.536097647621029615e+09,6.254788091959654121e+05,5.041738402022719383e+06,2.498780587024326749e+01,-5.644382480636067623e-02,-2.161884423489268334e-02,9.678236466203090638e-01,-2.442623779007798979e-01
1.536097648037959337e+09,6.254787212633647723e+05,5.041738341951214708e+06,2.496277694060579222e+01,-5.638221930309720437e-02,-2.177900666424299400e-02,9.671262611862562197e-01,-2.470091397885299245e-01
1.536097648498122931e+09,6.254783077426662203e+05,5.041738153857218102e+06,2.488480260298949176e+01,-1.492315250948028638e-02,-1.906321214075037268e-02,9.687619298459627659e-01,-2.468080564794865595e-01
1.536097648960623503e+09,6.254781696288675303e+05,5.041738079031771049e+06,2.485119480543293946e+01,-1.491732281533949926e-02,-1.906777433177275077e-02,9.686864175648967068e-01,-2.471042652147921181e-01
1.536097649462214231e+09,6.254780371466530487e+05,5.041737995065417141e+06,2.482177002205976279e+01,-1.246676772386740191e-02,-1.502528140736538245e-02,9.683839704347206867e-01,-2.486992288412535057e-01
1.536097649860907555e+09,6.254779013445825549e+05,5.041737918197014369e+06,2.479703597968979167e+01,-1.238987388676122958e-02,-1.508875090660370157e-02,9.671012829005232181e-01,-2.536413397561817495e-01
1.536097650336525679e+09,6.254777539989610668e+05,5.041737833818755113e+06,2.480295810355047337e+01,2.299753125526330516e-02,-1.669232174360357410e-03,9.671164702534100766e-01,-2.532865179686758506e-01
1.536097650792878628e+09,6.254773634089558618e+05,5.041737615204539150e+06,2.476112804573712012e+01,2.300497745966526356e-02,-1.563263243675036595e-03,9.659392981416752288e-01,-2.577394023537711853e-01
1.536097651255431414e+09,6.254772575487823924e+05,5.041737552749549970e+06,2.474477980515716524e+01,1.294816622202674822e-02,-1.349627703866691612e-02,9.600990953343249146e-01,-2.790339094730120428e-01
1.536097651703387022e+09,6.254771510247951373e+05,5.041737477705482394e+06,2.473762013601979959e+01,1.335686947774726401e-02,-1.309192652637898406e-02,9.510691169924266886e-01,-3.084116246201301093e-01
1.536097652168433189e+09,6.254770549162075622e+05,5.041737402867191471e+06,2.471968622896245193e+01,-2.693414367046818598e-03,-2.513193220463604341e-02,9.393748384183057132e-01,-3.419591268694130992e-01
1.536097652615248680e+09,6.254769068528984208e+05,5.041737259825637564e+06,2.470510288638751817e+01,-1.748188707122668708e-03,-2.521531942163979592e-02,9.258774293607389128e-01,-3.769776084902908830e-01
1.536097653071882963e+09,6.254768370832924265e+05,5.041737173077842221e+06,2.470179126044995499e+01,-9.218548712019363845e-04,-2.525903166963209406e-02,9.130412864357366765e-01,-4.070832111085937455e-01
1.536097653512259245e+09,6.254767472396522062e+05,5.041737072891355492e+06,2.469789942190038090e+01,-8.922045945171434801e-04,-2.412711912157543964e-02,8.960189351174336903e-01,-4.433589448797384258e-01
1.536097653956422329e+09,6.254766830724790925e+05,5.041736974174620584e+06,2.469665425163917760e+01,2.691453228482371094e-05,-2.414359504616328880e-02,8.784916438065607514e-01,-4.771472706155844290e-01
1.536097654401794434e+09,6.254766127227831166e+05,5.041736857388729230e+06,2.470542284754407092e+01,-1.263654388911127947e-02,1.522987493511109881e-02,-8.573892121299799829e-01,5.142879617404357839e-01
1.536097654876833200e+09,6.254764359140300658e+05,5.041736697953768075e+06,2.471591261810716134e+01,-1.314819947837031142e-02,1.479040846216030276e-02,-8.393656265826665575e-01,5.432068791717267198e-01
1.536097655315774441e+09,6.254763962042005733e+05,5.041736584765484557e+06,2.471546184771018062e+01,-1.356914902861121493e-02,1.717780149724843983e-02,-8.177671338293774905e-01,5.751327813286642998e-01
1.536097655739845753e+09,6.254763612349571194e+05,5.041736463411905803e+06,2.471259587793231205e+01,-1.425490614103841133e-02,1.661313698702677685e-02,-7.937598059184308719e-01,6.078372905956787031e-01
1.536097656207654476e+09,6.254763330390776973e+05,5.041736335909303278e+06,2.471314995920819158e+01,-7.461796687330709416e-03,1.810206705930965387e-02,-7.666223701918205569e-01,6.417996402927104160e-01
1.536097656663549185e+09,6.254761924885326298e+05,5.041736114625209942e+06,2.471676714806440245e+01,-8.144371655738995297e-03,1.780540513316106188e-02,-7.416770523384382807e-01,6.704713169054604682e-01
1.536097657216570854e+09,6.254761924717297079e+05,5.041735991164808162e+06,2.472466227305829989e+01,-1.911377086205353140e-02,1.668027000778189457e-03,-7.213931096219815542e-01,6.922599676705893934e-01
1.536097657703397036e+09,6.254761900768389460e+05,5.041735864902055822e+06,2.472200803652530254e+01,-1.916076725312247306e-02,9.917403460992866692e-04,-6.964868551042810996e-01,7.173130014967704637e-01
1.536097658036520481e+09,6.254761984381447546e+05,5.041735716466177255e+06,2.471935195842308630e+01,-1.918341837064590702e-02,3.391316251494947819e-04,-6.716735512388199991e-01,7.405987591237170875e-01
