# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097579765197754e+09,6.255009594862514641e+05,5.041743879581454210e+06,2.652000045776367188e+01
1.536097579813587427e+09,6.255009477163570700e+05,5.041743895090889186e+06,2.652000045776367188e+01
1.536097579868718624e+09,6.255009459180642152e+05,5.041743919876433909e+06,2.654000091552734375e+01
1.536097579911099434e+09,6.255009309787191451e+05,5.041743924578780308e+06,2.654000091552734375e+01
1.536097579959061861e+09,6.255009157535552513e+05,5.041743937055290677e+06,2.654000091552734375e+01
1.536097580005447865e+09,6.255009043139537098e+05,5.041743942568624392e+06,2.654000091552734375e+01
1.536097580048824072e+09,6.255008953660962870e+05,5.041743947205652483e+06,2.655999946594238281e+01
1.536097580096201897e+09,6.255008839932002593e+05,5.041743949386085384e+06,2.655999946594238281e+01
1.536097580139933348e+09,6.255008882072515553e+05,5.041743953545606695e+06,2.656999969482421875e+01
1.536097580230265141e+09,6.255008785677825799e+05,5.041743960206382908e+06,2.655999946594238281e+01
1.536097580278949022e+09,6.255008604585264111e+05,5.041743947618394159e+06,2.660000038146972656e+01
1.536097580328536272e+09,6.255008504572769161e+05,5.041743939823571593e+06,2.657999992370605469e+01
1.536097580376440525e+09,6.255008429009736283e+05,5.041743953009279445e+06,2.657999992370605469e+01
1.536097580425074339e+09,6.255008300670310855e+05,5.041743963125591166e+06,2.656999969482421875e+01
1.536097580474144936e+09,6.255008242228381569e+05,5.041743994869102724e+06,2.660000038146972656e+01
1.536097580521885395e+09,6.255008195330422604e+05,5.041743994960472919e+06,2.660000038146972656e+01
1.536097580570918560e+09,6.255008062974747736e+05,5.041744005624448881e+06,2.660000038146972656e+01
1.536097580619742155e+09,6.255007944868141785e+05,5.041744023170656525e+06,2.660000038146972656e+01
1.536097580666923046e+09,6.255007841511077713e+05,5.041744019073845819e+06,2.663999938964843750e+01
1.536097580716029167e+09,6.255007770552678267e+05,5.041744022266060114e+06,2.663999938964843750e+01
1.536097580764386892e+09,6.255007679109929595e+05,5.041744036716631614e+06,2.662999916076660156e+01
1.536097580812374115e+09,6.255007549176937900e+05,5.041744054794874042e+06,2.664999961853027344e+01
1.536097580862131357e+09,6.255007433117843466e+05,5.041744075123708695e+06,2.661000061035156250e+01
1.536097580909029007e+09,6.255007333832487930e+05,5.041744096227058209e+06,2.661000061035156250e+01
1.536097580957896948e+09,6.255007124760329025e+05,5.041744119333495386e+06,2.659000015258789062e+01
1.536097581004104376e+09,6.255007039895572234e+05,5.041744126943525858e+06,2.660000038146972656e+01
1.536097581047667980e+09,6.255006968084780965e+05,5.041744134394446388e+06,2.662000083923339844e+01
1.536097581091231823e+09,6.255006762445133645e+05,5.041744172882290557e+06,2.662000083923339844e+01
1.536097581181661606e+09,6.255006611898243427e+05,5.041744176841385663e+06,2.661000061035156250e+01
1.536097581228792429e+09,6.255006514248116873e+05,5.041744196280891076e+06,2.661000061035156250e+01
