# time [s],                    latitude [deg, +ve = towards North]                    longitude [deg, +ve = towards East]                    altitude [m]
1.536097567093029022e+09,4.551788014833334017e+01,-7.339309523666666735e+01,2.795999908447265625e+01
1.536097567140676737e+09,4.551788038166666439e+01,-7.339309517666667659e+01,2.795000076293945312e+01
1.536097567233620405e+09,4.551788059666666442e+01,-7.339309520833333522e+01,2.795000076293945312e+01
1.536097567280714989e+09,4.551788388666667373e+01,-7.339309500833333288e+01,2.739999961853027344e+01
1.536097567329004288e+09,4.551788383333332888e+01,-7.339309493166666698e+01,2.738999938964843750e+01
1.536097567377269506e+09,4.551788401833334063e+01,-7.339309491000000207e+01,2.737000083923339844e+01
1.536097567426109791e+09,4.551788424166666402e+01,-7.339309491833333254e+01,2.737999916076660156e+01
1.536097567474590540e+09,4.551788706000000673e+01,-7.339309460166666099e+01,2.689999961853027344e+01
1.536097567524385691e+09,4.551788698666666022e+01,-7.339309449833332621e+01,2.687999916076660156e+01
1.536097567571278572e+09,4.551788724166666356e+01,-7.339309447499999806e+01,2.687000083923339844e+01
1.536097567621649265e+09,4.551788746833332766e+01,-7.339309447333333480e+01,2.687000083923339844e+01
1.536097567670169115e+09,4.551788424833333124e+01,-7.339309478666667985e+01,2.753000068664550781e+01
1.536097567720718384e+09,4.551788390166666431e+01,-7.339309456333333515e+01,2.747999954223632812e+01
1.536097567766456366e+09,4.551788411666666434e+01,-7.339309467166665968e+01,2.747999954223632812e+01
1.536097567814843655e+09,4.551788433166666437e+01,-7.339309471333332624e+01,2.747999954223632812e+01
1.536097567863384962e+09,4.551788726666666918e+01,-7.339309457500000633e+01,2.700000000000000000e+01
1.536097567912044525e+09,4.551788745500000033e+01,-7.339309463166665637e+01,2.700000000000000000e+01
1.536097567961230278e+09,4.551788764166666112e+01,-7.339309464666666827e+01,2.698999977111816406e+01
1.536097568005684376e+09,4.551788787333332920e+01,-7.339309471166666299e+01,2.698999977111816406e+01
1.536097568048969746e+09,4.551788924333333597e+01,-7.339309461666667289e+01,2.680999946594238281e+01
1.536097568094850063e+09,4.551788953166666829e+01,-7.339309470833333648e+01,2.680999946594238281e+01
1.536097568140218735e+09,4.551788971666666583e+01,-7.339309488000000670e+01,2.681999969482421875e+01
1.536097568232091188e+09,4.551788987833333522e+01,-7.339309494500000142e+01,2.679999923706054688e+01
1.536097568280174732e+09,4.551789208833334044e+01,-7.339309464166666430e+01,2.652000045776367188e+01
1.536097568329879999e+09,4.551789225999998934e+01,-7.339309467333332293e+01,2.651000022888183594e+01
1.536097568377597809e+09,4.551789231500000454e+01,-7.339309467333332293e+01,2.652000045776367188e+01
1.536097568425949812e+09,4.551789245666667227e+01,-7.339309463333333383e+01,2.651000022888183594e+01
1.536097568474281788e+09,4.551789156833333294e+01,-7.339309470166666927e+01,2.670999908447265625e+01
1.536097568524081945e+09,4.551789179000000729e+01,-7.339309473666666861e+01,2.671999931335449219e+01
1.536097568572071314e+09,4.551789196000000004e+01,-7.339309470999999974e+01,2.671999931335449219e+01
1.536097568621868134e+09,4.551789211333333185e+01,-7.339309469666666530e+01,2.670999908447265625e+01
1.536097568669421673e+09,4.551789319833333280e+01,-7.339309464999999477e+01,2.653000068664550781e+01
1.536097568717809916e+09,4.551789356666666464e+01,-7.339309473333332789e+01,2.654999923706054688e+01
1.536097568770153046e+09,4.551789366333333930e+01,-7.339309477166666795e+01,2.655999946594238281e+01
1.536097568815526724e+09,4.551789387333333536e+01,-7.339309472333333417e+01,2.655999946594238281e+01
1.536097568863317728e+09,4.551789408666666503e+01,-7.339309482000000173e+01,2.654000091552734375e+01
1.536097568913154840e+09,4.551789429166667134e+01,-7.339309479499999611e+01,2.654000091552734375e+01
1.536097568961525679e+09,4.551789449999999704e+01,-7.339309478499998818e+01,2.654000091552734375e+01
1.536097569007371664e+09,4.551789470499999624e+01,-7.339309474833333979e+01,2.653000068664550781e+01
1.536097569050979376e+09,4.551789652333333436e+01,-7.339309454166667024e+01,2.626000022888183594e+01
1.536097569094297171e+09,4.551789673666667113e+01,-7.339309465666666199e+01,2.629000091552734375e+01
1.536097569141993284e+09,4.551789702333334020e+01,-7.339309473666666861e+01,2.626000022888183594e+01
1.536097569190619469e+09,4.551789719833333692e+01,-7.339309478499998818e+01,2.626000022888183594e+01
1.536097569281527758e+09,4.551789501833333418e+01,-7.339309504666667294e+01,2.670000076293945312e+01
1.536097569330653667e+09,4.551789500500000685e+01,-7.339309507000000110e+01,2.670000076293945312e+01
1.536097569379240274e+09,4.551789522666665988e+01,-7.339309506499999713e+01,2.668000030517578125e+01
1.536097569427848577e+09,4.551789546333332481e+01,-7.339309500500000638e+01,2.667000007629394531e+01
1.536097569477145433e+09,4.551789345333333614e+01,-7.339309514333332629e+01,2.709000015258789062e+01
1.536097569525982857e+09,4.551789356500000139e+01,-7.339309507333334182e+01,2.705999946594238281e+01
1.536097569572860718e+09,4.551789367333334013e+01,-7.339309509000000276e+01,2.707999992370605469e+01
1.536097569623092651e+09,4.551789386499999779e+01,-7.339309504666667294e+01,2.709000015258789062e+01
1.536097569675425529e+09,4.551789488166667041e+01,-7.339309500666666963e+01,2.695999908447265625e+01
1.536097569719715357e+09,4.551789523499999746e+01,-7.339309507166666435e+01,2.695999908447265625e+01
1.536097569768393755e+09,4.551789541500000524e+01,-7.339309506333333388e+01,2.695000076293945312e+01
1.536097569817033529e+09,4.551789560000000279e+01,-7.339309505333334016e+01,2.695999908447265625e+01
1.536097569865417242e+09,4.551789612166667354e+01,-7.339309504166665477e+01,2.688999938964843750e+01
1.536097569915553808e+09,4.551789674999999846e+01,-7.339309522166666966e+01,2.690999984741210938e+01
1.536097569964199066e+09,4.551789686166667082e+01,-7.339309526333333622e+01,2.693000030517578125e+01
1.536097570009561539e+09,4.551789705500000593e+01,-7.339309527999999716e+01,2.693000030517578125e+01
1.536097570052628756e+09,4.551789732000000299e+01,-7.339309518333332960e+01,2.697999954223632812e+01
1.536097570096165895e+09,4.551789754833333035e+01,-7.339309521166666173e+01,2.698999977111816406e+01
1.536097570143115997e+09,4.551789776166666712e+01,-7.339309529333333160e+01,2.698999977111816406e+01
1.536097570191823244e+09,4.551789801166666649e+01,-7.339309528833334184e+01,2.698999977111816406e+01
1.536097570240815878e+09,4.551789634499998982e+01,-7.339309534833333259e+01,2.735000038146972656e+01
1.536097570289694071e+09,4.551789648666666466e+01,-7.339309536000000378e+01,2.735000038146972656e+01
1.536097570382912397e+09,4.551789662999999564e+01,-7.339309533499999816e+01,2.736000061035156250e+01
1.536097570429995060e+09,4.551789688833333969e+01,-7.339309529833333556e+01,2.735000038146972656e+01
1.536097570478278399e+09,4.551789718666667284e+01,-7.339309524833333853e+01,2.736000061035156250e+01
1.536097570528321981e+09,4.551789741833332670e+01,-7.339309525166666504e+01,2.735000038146972656e+01
1.536097570576751232e+09,4.551789767833334110e+01,-7.339309537166667496e+01,2.732999992370605469e+01
1.536097570625545502e+09,4.551789792333333651e+01,-7.339309534833333259e+01,2.734000015258789062e+01
1.536097570673648834e+09,4.551789962333334216e+01,-7.339309532000000047e+01,2.706999969482421875e+01
1.536097570721414328e+09,4.551789984499999520e+01,-7.339309533166667165e+01,2.706999969482421875e+01
1.536097570769419909e+09,4.551790010166666178e+01,-7.339309530833334350e+01,2.705999946594238281e+01
1.536097570818402290e+09,4.551790034666666429e+01,-7.339309537333333822e+01,2.705999946594238281e+01
1.536097570866529226e+09,4.551789998333333642e+01,-7.339309518499999285e+01,2.721999931335449219e+01
1.536097570915953159e+09,4.551790024666667733e+01,-7.339309514833333026e+01,2.721999931335449219e+01
1.536097570964347124e+09,4.551790041166667322e+01,-7.339309499333333520e+01,2.721999931335449219e+01
1.536097571010433912e+09,4.551790058500000669e+01,-7.339309495833332164e+01,2.721999931335449219e+01
1.536097571054394484e+09,4.551790127166667332e+01,-7.339309480166666333e+01,2.718000030517578125e+01
1.536097571098161459e+09,4.551790131999999289e+01,-7.339309480666666730e+01,2.715999984741210938e+01
1.536097571144445181e+09,4.551790152333332884e+01,-7.339309481000000801e+01,2.715999984741210938e+01
1.536097571193245888e+09,4.551790176833333135e+01,-7.339309480833334476e+01,2.715999984741210938e+01
1.536097571243483067e+09,4.551790182500000270e+01,-7.339309495833332164e+01,2.712000083923339844e+01
1.536097571291871309e+09,4.551790205666666367e+01,-7.339309495166666863e+01,2.711000061035156250e+01
1.536097571340827703e+09,4.551790227666666766e+01,-7.339309484666665639e+01,2.711000061035156250e+01
1.536097571432543039e+09,4.551790252166667017e+01,-7.339309484166666664e+01,2.711000061035156250e+01
1.536097571481058598e+09,4.551790246666666206e+01,-7.339309503500000176e+01,2.710000038146972656e+01
1.536097571529766083e+09,4.551790264666666985e+01,-7.339309501833332661e+01,2.707999992370605469e+01
1.536097571577122927e+09,4.551790291833332702e+01,-7.339309512166666138e+01,2.706999969482421875e+01
1.536097571626040697e+09,4.551790316666667024e+01,-7.339309514500000375e+01,2.706999969482421875e+01
1.536097571674678087e+09,4.551790414000000595e+01,-7.339309511333333091e+01,2.697999954223632812e+01
1.536097571722617388e+09,4.551790410499999240e+01,-7.339309508333333554e+01,2.695999908447265625e+01
1.536097571771305323e+09,4.551790423333333280e+01,-7.339309506166665642e+01,2.695999908447265625e+01
1.536097571820646763e+09,4.551790440333332555e+01,-7.339309506499999713e+01,2.695999908447265625e+01
1.536097571868535995e+09,4.551790341166667275e+01,-7.339309521333332498e+01,2.711000061035156250e+01
1.536097571916585922e+09,4.551790366499999152e+01,-7.339309522499999616e+01,2.711000061035156250e+01
1.536097571966627598e+09,4.551790380166666949e+01,-7.339309527999999716e+01,2.711000061035156250e+01
1.536097572013423204e+09,4.551790403333333046e+01,-7.339309522666667363e+01,2.710000038146972656e+01
1.536097572055872202e+09,4.551790415000000678e+01,-7.339309519333332332e+01,2.713999938964843750e+01
1.536097572099100590e+09,4.551790455666665736e+01,-7.339309532000000047e+01,2.714999961853027344e+01
1.536097572146009922e+09,4.551790467499999693e+01,-7.339309533166667165e+01,2.715999984741210938e+01
1.536097572196073294e+09,4.551790480500000768e+01,-7.339309523499998988e+01,2.714999961853027344e+01
1.536097572244667768e+09,4.551790378500000145e+01,-7.339309521333332498e+01,2.739999961853027344e+01
1.536097572292086363e+09,4.551790366166666502e+01,-7.339309507500000507e+01,2.739999961853027344e+01
1.536097572341486931e+09,4.551790381499999683e+01,-7.339309505500000341e+01,2.739999961853027344e+01
1.536097572390656710e+09,4.551790395500000130e+01,-7.339309502833333454e+01,2.739999961853027344e+01
1.536097572482107878e+09,4.551790428166667368e+01,-7.339309494500000142e+01,2.738999938964843750e+01
1.536097572531533480e+09,4.551790459000000766e+01,-7.339309495166666863e+01,2.739999961853027344e+01
1.536097572579583406e+09,4.551790477999999496e+01,-7.339309487333333948e+01,2.737999916076660156e+01
1.536097572629295349e+09,4.551790494333332759e+01,-7.339309487666666598e+01,2.737999916076660156e+01
1.536097572677933216e+09,4.551790523666667099e+01,-7.339309503666666501e+01,2.729000091552734375e+01
1.536097572724470615e+09,4.551790526166666240e+01,-7.339309494833332792e+01,2.729000091552734375e+01
1.536097572773768902e+09,4.551790546499999834e+01,-7.339309494166667491e+01,2.729999923706054688e+01
1.536097572822975874e+09,4.551790556999999637e+01,-7.339309490000000835e+01,2.729000091552734375e+01
1.536097572872036934e+09,4.551790559500000199e+01,-7.339309473833333186e+01,2.737999916076660156e+01
1.536097572920438051e+09,4.551790578666667386e+01,-7.339309477499999446e+01,2.737999916076660156e+01
1.536097572968275309e+09,4.551790598499999874e+01,-7.339309486999999876e+01,2.737000083923339844e+01
1.536097573014458418e+09,4.551790610500000156e+01,-7.339309488166666995e+01,2.737000083923339844e+01
1.536097573057407856e+09,4.551790664499999650e+01,-7.339309478666667985e+01,2.737000083923339844e+01
1.536097573101071119e+09,4.551790686166667399e+01,-7.339309477999999842e+01,2.736000061035156250e+01
1.536097573149453878e+09,4.551790698666666657e+01,-7.339309472833333814e+01,2.736000061035156250e+01
1.536097573197109699e+09,4.551790716666666015e+01,-7.339309479833333683e+01,2.736000061035156250e+01
1.536097573246109009e+09,4.551790758166666961e+01,-7.339309476499998652e+01,2.729999923706054688e+01
1.536097573293851852e+09,4.551790777500000473e+01,-7.339309475999999677e+01,2.729000091552734375e+01
1.536097573343089819e+09,4.551790788166666601e+01,-7.339309474666667654e+01,2.729000091552734375e+01
1.536097573392132282e+09,4.551790807000000427e+01,-7.339309478333332493e+01,2.729000091552734375e+01
1.536097573438737631e+09,4.551790747833333484e+01,-7.339309497499999679e+01,2.736000061035156250e+01
1.536097573531670570e+09,4.551790747999999809e+01,-7.339309493166666698e+01,2.735000038146972656e+01
1.536097573580176353e+09,4.551790763000000339e+01,-7.339309484833333386e+01,2.735000038146972656e+01
1.536097573636243582e+09,4.551790777333334148e+01,-7.339309487333333948e+01,2.734000015258789062e+01
1.536097573676860332e+09,4.551790971833334254e+01,-7.339309471999999346e+01,2.704999923706054688e+01
1.536097573724897861e+09,4.551790988999999144e+01,-7.339309478499998818e+01,2.704999923706054688e+01
1.536097573780250072e+09,4.551791001500000533e+01,-7.339309479833333683e+01,2.704999923706054688e+01
1.536097573822462559e+09,4.551791011499999229e+01,-7.339309481000000801e+01,2.704999923706054688e+01
1.536097573870778561e+09,4.551791045500000621e+01,-7.339309463166665637e+01,2.714999961853027344e+01
1.536097573917995691e+09,4.551791026499999759e+01,-7.339309456499999840e+01,2.711000061035156250e+01
1.536097573968459845e+09,4.551791031833332823e+01,-7.339309470500000998e+01,2.712000083923339844e+01
1.536097574014767170e+09,4.551791045500000621e+01,-7.339309474499999908e+01,2.712999916076660156e+01
1.536097574057343006e+09,4.551791184166666682e+01,-7.339309455333334142e+01,2.697999954223632812e+01
